id,location,investigation,date_of_accident,date_of_report,time_of_accident,ai_category,body_part,nature_of_injury,type_of_contact,no_of_days_lost,target_closure_date,actual_closure_date,investigation_level
82,Section 3,Yes,24-06-2017,24-06-17,8:00:00 AM,Road Traffic Accidents,Arm,Abrasion,"Struck by a falling, flying or moving object",0,20-07-17,20-07-17,Medium
83,Section 4,No,27-06-2017,27-06-17,2:00:00 PM,Injury,Back / Buttocks,Bruise / Contusion,"Slip, trip or fall on same level",0,21-07-17,27-06-17,Low
84,Section 4,Yes,27-06-2017,27-06-17,3:30:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,22-07-17,30-06-17,Low
85,Section 2,No,07-07-2017,07-07-17,12:00:00 AM,Dangerous Occurrence,N/A,N/A,N/A,0,23-07-17,23-07-18,Low
86,Section 3,Yes,05-07-2017,05-07-17,12:00:00 PM,Injury,Fingers / Thumbs,Fracture ,"Injured by carrying, handling or lifting",0,24-07-17,24-07-17,Low
87,Section 3,Yes,12-07-2017,12-07-17,7:00:00 AM,Loss/Damage/Theft,N/A,N/A,N/A,0,25-07-17,25-07-17,Low
88,Section 3,Yes,11-07-2017,11-07-17,12:00:00 PM,Injury,Arm,Sprain / Strain ,"Injured by carrying, handling or lifting",2,26-07-17,26-07-17,Low
89,Section 4,Yes,29-06-2017,29-06-17,11:45:00 AM,Environmental Incident,N/A,N/A,N/A,0,27-07-17,30-06-17,Low
90,Section 1,Yes,11-07-2017,11-07-17,9:30:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,28-07-17,26-07-17,Medium
91,Section 2,No,07-07-2017,07-07-17,12:00:00 AM,Road Traffic Accidents,N/A,N/A,N/A,0,29-07-17,29-07-18,Low
92,Section 3,Yes,14-07-2017,14-07-17,8:50:00 AM,Loss/Damage/Theft,N/A,N/A,N/A,0,30-07-17,30-07-17,Low
93,Section 4,Yes,14-07-2017,14-07-17,10:30:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,31-07-17,28-07-17,Low
94,Section 2,Yes,17-07-2017,17-07-17,9:45:00 AM,Utility Damage,N/A,N/A,N/A,0,01-08-17,01-08-18,Low
95,Section 1,Yes,17-07-2017,17-07-17,12:45:00 PM,Injury,Neck,Puncture / penetrations injury ,Other,0,02-08-17,21-07-17,Low
96,Section 4,Yes,14-07-2017,14-07-17,10:25:00 AM,Loss/Damage/Theft,N/A,N/A,N/A,0,03-08-17,20-07-17,Low
97,Section 4,Yes,21-07-2017,21-07-17,6:30:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,04-08-17,20-07-17,Low
98,Section 3,Yes,25-07-2017,25-07-17,1:30:00 PM,Injury,Torso,Other,N/A,1,05-08-17,05-08-17,Low
99,Section 2,No,21-07-2017,21-07-17,12:00:00 AM,Injury,Face,Puncture / penetrations injury ,Other,0,06-08-17,06-08-18,Low
99,Section 4,No,25-07-2017,25-07-17,1:45:00 PM,Road Traffic Accidents,N/A,N/A,Other,0,07-08-17,26-07-17,Low
100,Section 4,No,27-07-2017,27-07-17,5:06:00 PM,Injury,N/A,N/A,"Slip, trip or fall on same level",0,08-08-17,31-07-17,Low
101,Section 2,Yes,25-07-2017,25-07-17,4:30:00 PM,Injury,Hand,Bruise / Contusion,"Struck by a falling, flying or moving object",0,09-08-17,09-08-17,Low
102,Section 4,No,27-07-2017,27-07-17,10:30:00 AM,Injury,N/A,N/A,"Slip, trip or fall on same level",0,10-08-17,31-07-17,Low
103,Section 2,No,25-07-2017,25-07-17,3:00:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,11-08-17,11-08-18,Low
104,Section 2,No,01-08-2017,01-08-17,5:00:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,12-08-17,12-08-18,Medium
105,Section 4,Yes,02-08-2017,02-08-17,2:00:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,13-08-17,11-08-17,Medium
106,Section 3,No,21-07-2017,21-07-17,9:00:00 AM,Injury,Back / Buttocks,Bruise / Contusion,"Slip, trip or fall on same level",0,14-08-17,14-08-17,Low
107,Section 4,No,28-07-2017,28-07-17,3:00:00 PM,Injury,Arm,Sprain / Strain ,"Slip, trip or fall on same level",0,15-08-17,08-08-17,Low
108,Section 4,No,25-07-2017,25-07-17,2:00:00 PM,Illness,N/A,N/A,N/A,0,16-08-17,25-07-17,Low
109,Section 4,No,03-08-2017,03-08-17,2:40:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,17-08-17,14-08-17,Medium
110,Section 2,No,04-08-2017,04-08-17,4:15:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,18-08-17,18-08-18,Low
111,Section 2,No,05-08-2017,05-08-17,11:00:00 AM,Road Traffic Accidents,N/A,N/A,N/A,0,19-08-17,19-08-17,Low
112,Section 4,Yes,07-08-2017,07-08-17,2:15:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,20-08-17,14-08-17,Medium
113,Section 3,Yes,07-08-2017,07-08-17,3:30:00 PM,Road Traffic Accidents,N/A,N/A,N/A,0,21-08-17,21-08-17,Medium
114,Section 2,Yes,07-08-2017,07-08-17,3:30:00 PM,Injury,Leg,Sprain / Strain ,"Slip, trip or fall on same level",0,22-08-17,22-08-18,Low
115,Section 2,No,08-08-2017,08-08-17,4:30:00 PM,Injury,Eyes,Foreign Body,Other,0,23-08-17,23-08-17,Low
116,Section 2,No,10-08-2017,10-08-17,8:05:00 AM,Road Traffic Accidents,N/A,N/A,N/A,0,24-08-17,10-01-18,Low
117,Section 2,Yes,11-08-2017,11-08-17,12:00:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,25-08-17,25-08-18,Medium
118,Section 1,No,11-08-2017,11-08-17,4:00:00 PM,Utility Damage,N/a,N/a,Exposed to fire or combustion smoke and gases ,0,26-08-17,11-08-17,Low
119,Section 2,Yes,15-08-2017,15-08-17,8:15:00 AM,Road Traffic Accidents,N/A,N/A,N/A,0,27-08-17,27-08-17,Low
120,Section 4,No,17-08-2017,17-08-17,10:45:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,28-08-17,23-08-17,Low
121,Section 4,No,17-08-2017,17-08-17,12:30:00 PM,Injury,Foot / Ankle,Puncture / penetrations injury ,Other,0,29-08-17,18-08-17,Low
122,Section 3,No,15-08-2017,15-08-17,3:00:00 PM,Illness,N/A,N/A,N/A,0,30-08-17,30-08-17,Low
123,Section 4,Yes,11-08-2017,11-08-17,3:20:00 PM,Road Traffic Accidents,N/A,N/A,N/A,0,31-08-17,12-08-17,Low
124,Section 3,No,17-08-2017,17-08-17,10:30:00 AM,Injury,Leg,Sprain / Strain ,"Injured by carrying, handling or lifting",0,01-09-17,01-09-17,Low
125,Section 1,Yes,10-08-2017,10-08-17,4:30:00 PM,Injury,Back / Buttocks,Sprain / Strain ,"Injured by carrying, handling or lifting",15,02-09-17,20-09-17,Low
126,Section 1,Yes,15-08-2017,15-08-17,7:50:00 AM,Injury,Head,Bruise / Contusion,"Struck by a falling, flying or moving object",0,03-09-17,29-08-17,Low
127,Section 4,Yes,19-08-2017,19-08-17,9:30:00 AM,Injury,Back / Buttocks,Sprain / Strain ,"Slip, trip or fall on same level",0,04-09-17,25-08-17,Low
128,Section 4,Yes,26-04-2017,26-04-17,3:00:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,05-09-17,25-08-17,Low
129,Section 1,Yes,24-08-2017,24-08-17,9:45:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,06-09-17,02-10-17,Medium
130,Section 4,No,21-08-2017,21-08-17,10:00:00 AM,Road Traffic Accidents,N/A,N/A,N/A,0,07-09-17,25-08-17,Low
131,Section 2,No,30-08-2017,30-08-17,9:50:00 AM,Injury,Fingers / Thumbs,Bruise / Contusion,Contact with hot/cold materials or surfaces,0,08-09-17,08-09-18,Low
132,Section 2,No,31-08-2017,31-08-17,8:00:00 AM,Injury,Foot / Ankle,Other,Other,0,09-09-17,31-08-17,Low
133,Section 2,No,02-08-2017,02-08-17,10:15:00 AM,Injury,Hand,Abrasion,"Slip, trip or fall on same level",0,10-09-17,02-08-17,Low
134,Section 4,No,31-08-2017,31-08-17,10:47:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,11-09-17,22-09-17,Low
135,Section 4,No,20-02-2017,20-02-17,8:25:00 AM,Injury,Hand,Cut / Laceration,Struck against a fixed or stationary object,0,12-09-17,22-02-17,Low
136,Section 2,No,20-02-2017,20-02-17,4:25:00 PM,Injury,Fingers / Thumbs,Cut / Laceration,Other,0,13-09-17,20-02-18,Low
137,Section 4,No,14-07-2017,14-07-17,5:10:00 PM,Injury,Arm,Bruise / Contusion,Struck against a fixed or stationary object,0,14-09-17,18-07-17,Low
138,Section 3,No,10-08-2017,10-08-17,3:45:00 PM,Injury,Back / Buttocks,Sprain / Strain ,"Slip, trip or fall on same level",0,15-09-17,15-09-17,Low
139,Section 3,No,07-09-2017,07-09-17,10:45:00 AM,Loss/Damage/Theft,N/A,N/A,N/A,0,16-09-17,16-09-17,Low
140,Section 3,No,07-09-2017,07-09-17,4:45:00 PM,Utility Damage,N/A,N/A,N/A,0,17-09-17,17-09-17,Low
141,Section 3,No,05-09-2017,06-09-17,8:00:00 AM,Injury,Back / Buttocks,Other,N/A,14,18-09-17,20-09-17,Low
142,Section 2,No,11-09-2017,11-09-17,1:15:00 PM,Illness,Torso,Other,Other,0,19-09-17,19-09-17,Low
143,Section 4,No,13-09-2017,13-09-17,7:00:00 AM,Loss/Damage/Theft,N/A,N/A,N/A,0,20-09-17,15-09-17,Low
144,Section 3,No,13-09-2017,13-09-17,1:00:00 PM,Injury,Hand,Other,N/A,0,21-09-17,21-09-17,Low
145,Section 4,Yes,03-02-2017,03-02-17,2:00:00 AM,Utility Damage,N/A,N/A,N/A,0,22-09-17,28-02-17,Low
146,Section 4,Yes,25-01-2017,25-01-17,2:47:00 AM,Dangerous Occurrence,N/A,N/A,N/A,0,23-09-17,30-01-17,Low
147,Section 3,Yes,13-09-2017,13-09-17,8:30:00 AM,Injury,Fingers / Thumbs,N/A,N/A,2,24-09-17,24-09-17,Low
148,Section 3,No,14-09-2017,14-09-17,9:30:00 AM,Injury,Fingers / Thumbs,Cut / Laceration,"Struck by a falling, flying or moving object",0,25-09-17,25-09-17,Low
149,Section 3,Yes,15-09-2017,15-09-17,3:00:00 PM,Injury,Face,Cut / Laceration,"Injured by carrying, handling or lifting",0,26-09-17,26-09-17,Low
150,Section 3,Yes,16-09-2017,16-09-17,3:00:00 PM,Utility Damage,N/A,N/A,N/A,0,27-09-17,27-09-17,Low
151,Section 3,Yes,17-09-2017,17-09-17,10:00:00 AM,Injury,Back / Buttocks,Other,N/A,0,28-09-17,30-09-17,Low
152,Section 4,No,14-09-2017,14-09-17,7:00:00 AM,Illness,Leg,Sprain / Strain ,Other,0,29-09-17,18-09-17,Low
153,Section 4,Yes,15-09-2017,15-09-17,10:24:00 AM,Injury,Leg,Sprain / Strain ,Other,49,30-09-17,29-09-17,Low
154,Section 3,Yes,18-09-2017,20-09-17,4:15:00 PM,Injury,Torso,N/A,"Slip, trip or fall on same level",1,01-10-17,01-10-17,Low
155,Section 2,Yes,14-09-2017,14-09-17,8:00:00 AM,Injury,Eyes,Foreign Body,"Struck by a falling, flying or moving object",1,02-10-17,02-10-17,Low
156,Section 3,No,10-08-2017,10-08-17,7:30:00 AM,Injury,Eyes,Abrasion,Other,0,03-10-17,03-10-17,Low
157,Section 2,No,20-09-2017,20-09-17,2:10:00 PM,Illness,Torso,Sprain / Strain ,Other,0,04-10-17,04-10-17,Low
158,Section 6,Yes,21-09-2017,21-09-17,1:15:00 PM,Injury,Fingers / Thumbs,Cut / Laceration,Other,,05-10-17,,Low
159,Section 1,No,25-09-2017,25-09-17,6:45:00 AM,Category 1 / 2 Near Miss,N/A,N/A,Struck against a fixed or stationary object,0,06-10-17,25-09-17,Low
160,Section 1,No,25-09-2017,25-09-17,7:10:00 AM,Category 1 / 2 Near Miss,N/A,N/A,Struck against a fixed or stationary object,0,07-10-17,25-09-17,Low
161,Section 4,No,26-09-2017,26-09-17,10:30:00 AM,Illness,N/A,Pre-existing medical condition,N/A,0,08-10-17,29-09-17,Low
163,Section 4,No,25-09-2017,25-09-17,3:00:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,09-10-17,28-09-17,Low
164,Section 4,No,22-09-2017,22-09-17,8:52:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,10-10-17,28-09-17,Medium
165,Section 4,No,28-09-2017,28-09-17,2:15:00 PM,Injury,Fingers / Thumbs,Cut / Laceration,Struck against a fixed or stationary object,0,11-10-17,28-09-17,Low
166,Section 4,Yes,29-09-2017,29-09-17,2:20:00 AM,Loss/Damage/Theft,N/A,N/A,N/A,2,12-10-17,17-11-17,Medium
167,Section 4,No,04-10-2017,04-10-17,1:40:00 PM,Injury,Leg,Cut / Laceration,"Slip, trip or fall on same level",0,13-10-17,05-10-17,Low
168,Section 4,No,05-09-2017,05-09-17,4:15:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,14-10-17,15-09-17,Medium
169,Section 3,No,22-09-2017,22-09-17,10:00:00 AM,Loss/Damage/Theft,N/A,N/A,N/A,0,15-10-17,15-10-17,Low
170,Section 3,No,03-10-2017,03-10-17,10:00:00 AM,Injury,Fingers / Thumbs,Other,"Injured by carrying, handling or lifting",0,16-10-17,03-10-17,Low
171,Section 3,No,05-10-2017,05-10-17,8:30:00 AM,Injury,Eyes,Foreign Body,Exposed to dust ,0,17-10-17,10-10-17,Low
172,Section 3,No,02-10-2017,02-10-17,10:30:00 AM,Injury,Back / Buttocks,Other,N/A,0,18-10-17,02-10-17,Low
173,Section 2,No,09-10-2017,09-10-17,12:00:00 PM,Environmental Incident,N/A,N/A,N/A,0,19-10-17,13-10-17,Medium
174,Section 4,No,09-10-2017,09-10-17,10:15:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,20-10-17,01-11-17,Medium
175,Section 4,No,06-10-2017,06-10-17,8:45:00 AM,Road Traffic Accidents,N/A,N/A,N/A,0,21-10-17,26-10-17,Low
176,Section 1,No,11-10-2017,11-10-17,6:30:00 AM,Loss/Damage/Theft,N/A,N/A,Struck by a moving vehicle,0,22-10-17,11-10-17,Low
177,Section 3,No,11-10-2017,11-10-17,1:50:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,23-10-17,15-10-17,Medium
179,Section 1,No,12-10-2017,12-10-17,12:18:00 PM,Category 1 / 2 Near Miss,N/A,N/A,Struck against a fixed or stationary object,0,24-10-17,12-10-17,Low
180,Section 2,No,16-10-2017,16-10-17,10:30:00 AM,Road Traffic Accidents,N/A,N/A,N/A,0,25-10-17,23-10-17,Low
181,Section 2,No,16-10-2017,16-10-17,11:30:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,26-10-17,16-10-17,Low
182,Section 1,No,16-10-2017,16-10-17,3:30:00 PM,Injury,Eyes,Foreign Body,"Struck by a falling, flying or moving object",0,27-10-17,26-10-17,Medium
183,Section 1,No,17-10-2017,17-10-17,3:00:00 PM,Category 1 / 2 Near Miss,N/A,N/A,Other,0,28-10-17,20-10-17,Low
184,Section 4,No,16-10-2017,16-10-17,1:00:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,29-10-17,17-10-17,Medium
185,Section 4,Yes,17-10-2017,17-10-17,4:00:00 PM,Utility Damage,N/A,N/A,N/A,0,30-10-17,07-11-17,Medium
186,Section 4,No,13-10-2017,13-10-17,4:00:00 PM,Illness,N/A,N/A,Other,0,31-10-17,27-10-17,Low
187,Section 4,Yes,18-10-2017,18-10-17,4:35:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,01-11-17,03-11-17,Medium
188,Section 2,Yes,20-10-2017,20-10-17,1:00:00 PM,Category 1 / 2 Near Miss,Leg,Bruise / Contusion,"Struck by a falling, flying or moving object",0,02-11-17,31-10-17,Medium
189,Section 3,No,23-10-2017,23-10-17,1:15:00 PM,Illness,Face,Other,N/A,0,03-11-17,03-11-17,Low
190,Section 2,No,17-10-2017,17-10-17,1:00:00 PM,Utility Damage,N/A,N/A,N/A,0,04-11-17,11-01-18,Medium
191,Section 2,Yes,18-10-2017,18-10-17,10:45:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,05-11-17,10-01-18,High
192,Section 2,No,03-10-2017,03-10-17,1:30:00 PM,Utility Damage,N/A,N/A,N/A,0,06-11-17,27-10-17,N/A
192,Section 3,Yes,24-10-2017,24-10-17,2:00:00 PM,Road Traffic Accidents,N/A,N/A,N/A,0,07-11-17,07-11-17,High
193,Section 3,No,25-10-2017,25-10-17,10:30:00 AM,Road Traffic Accidents,N/A,N/A,N/A,0,08-11-17,08-11-17,Low
194,Section 3,No,24-10-2017,24-10-17,2:00:00 PM,Injury,Fingers / Thumbs,Cut / Laceration,"Injured by carrying, handling or lifting",0,09-11-17,27-10-17,Low
195,Section 4,Yes,26-10-2017,26-10-17,2:15:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,10-11-17,01-11-17,High
196,Section 3,No,25-10-2017,25-10-17,3:30:00 PM,Injury,Leg,Sprain / Strain ,"Injured by carrying, handling or lifting",0,11-11-17,27-10-17,Low
197,Section 3,No,26-10-2017,26-10-17,9:30:00 AM,Injury,Leg,Sprain / Strain ,Other,0,12-11-17,12-11-17,Low
198,Section 1,Yes,21-10-2017,21-10-17,2:25:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,13-11-17,16-11-17,High
199,Section 3,No,28-10-2017,28-10-17,2:30:00 PM,Road Traffic Accidents,N/A,N/A,N/A,0,14-11-17,14-11-17,Low
200,Section 3,Yes,27-10-2017,27-10-17,8:30:00 AM,Loss/Damage/Theft,N/A,N/A,N/A,0,15-11-17,15-11-17,High
201,Section 1,Yes,01-11-2017,01-11-17,3:00:00 PM,Utility Damage,N/A,N/A,N/A,0,16-11-17,16-11-17,Medium
202,Section 2,No,06-11-2017,06-11-17,1:30:00 PM,Category 1 / 2 Near Miss,Torso,Abrasion,Other,0,17-11-17,20-11-17,Low
203,Central,Yes,30-10-2017,30-10-17,9:00:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,18-11-17,20-11-17,High
204,Section 4,Yes,03-11-2017,03-11-17,4:15:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,19-11-17,14-11-17,High
205,Section 4,Yes,06-11-2017,06-11-17,3:00:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,20-11-17,20-11-17,Low
206,Section 4,No,03-11-2017,03-11-17,10:32:00 PM,Road Traffic Accidents,N/A,N/A,N/A,0,21-11-17,17-11-17,Low
207,Section 4,No,07-11-2017,07-11-17,11:00:00 PM,Illness,N/A,N/A,N/A,0,22-11-17,17-11-17,Low
208,Section 2,No,07-11-2017,07-11-17,8:00:00 AM,Injury,Head,Other,"Struck by a falling, flying or moving object",0,23-11-17,09-11-17,Low
209,Section 1,Yes,06-11-2017,06-11-17,8:30:00 AM,Loss/Damage/Theft,N/A,N/A,N/A,0,24-11-17,12-12-17,High
210,Section 3,Yes,07-11-2017,07-11-17,5:15:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,25-11-17,25-11-17,High
211,Section 1,No,08-11-2017,08-11-17,11:25:00 PM,Category 1 / 2 Near Miss,N/A,N/A,Struck against a fixed or stationary object,0,26-11-17,08-11-17,Low
212,Section 4,No,11-11-2017,11-11-17,10:55:00 PM,Road Traffic Accidents,N/A,N/A,N/A,0,27-11-17,13-11-17,Low
213,Section 1,No,12-11-2017,12-11-17,5:52:00 AM,Category 1 / 2 Near Miss,N/A,N/A,Struck against a fixed or stationary object,0,28-11-17,12-11-17,Low
214,Section 1,Yes,06-11-2017,06-11-17,8:25:00 AM,Category 1 / 2 Near Miss,N/A,N/A,Contact with moving machinery / power equipment,0,29-11-17,28-11-17,Medium
215,Section 4,No,13-11-2017,13-11-17,1:00:00 PM,Utility Damage,N/A,N/A,N/A,0,30-11-17,30-11-17,Low
